image,Q,M,MSE,MAE
Lena_512_512.rgb,3,-1,9.58316e+08,2.34958e+07
Lena_512_512.rgb,3,128,9.46061e+08,2.3282e+07
Lena_512_512.rgb,3,256,5.57951e+08,1.68544e+07
Lena_512_512.rgb,6,-1,2.59893e+08,1.22306e+07
Lena_512_512.rgb,6,128,2.60664e+08,1.22522e+07
Lena_512_512.rgb,6,256,1.5598e+08,8.58715e+06
Lena_512_512.rgb,9,-1,6.98399e+07,6.42514e+06
Lena_512_512.rgb,9,128,6.99204e+07,6.4278e+06
Lena_512_512.rgb,9,256,4.22768e+07,4.34517e+06
Lena_512_512.rgb,12,-1,1.73693e+07,3.19919e+06
Lena_512_512.rgb,12,128,1.74073e+07,3.20198e+06
Lena_512_512.rgb,12,256,1.23491e+07,2.29456e+06
Lena_512_512.rgb,15,-1,4.35876e+06,1.57989e+06
Lena_512_512.rgb,15,128,4.37436e+06,1.58293e+06
Lena_512_512.rgb,15,256,4.18765e+06,1.30723e+06
Lena_512_512.rgb,18,-1,1.18494e+06,792192
Lena_512_512.rgb,18,128,1.18837e+06,789724
Lena_512_512.rgb,18,256,1.90119e+06,933346
Lena_512_512.rgb,21,-1,386988,386988
Lena_512_512.rgb,21,128,393331,393331
Lena_512_512.rgb,21,256,1.15769e+06,835709
Lena_512_512.rgb,24,-1,786320,786320
Lena_512_512.rgb,24,128,781529,781529
Lena_512_512.rgb,24,256,1.62405e+06,800923
